0;0.0;0;0;null
1;0.0;500;0;null
0;0.0;0;0;null
0;3.0;-15;5;null
0;13.0;-15;5;2561
0;28.0;60;5;2561
0;38.0;60;5;null
0;38.0;60;5;null
0;53.0;-15;5;null
0;63.0;-15;5;2562
0;80.0;70;5;2562
0;90.0;70;5;null
0;90.0;70;5;null
0;107.0;-15;5;null
0;117.0;-15;5;2563
0;156.0;180;5;2563
0;166.0;180;5;null
0;166.0;180;5;null
0;205.0;-15;5;null
0;215.0;-15;5;2564
0;258.0;200;5;2564
0;268.0;200;5;null
0;268.0;200;5;null
0;311.0;-15;5;null
0;321.0;-15;5;2565
0;408.0;420;5;2565
0;418.0;420;5;null
0;418.0;420;5;null
0;505.0;-15;5;null
0;515.0;-15;5;2566
1;618.0;1015;5;null
0;618.0;-15;5;2566
0;731.0;550;5;2566
0;741.0;550;5;null
0;741.0;550;5;null
0;854.0;-15;5;null
0;864.0;-15;5;2567
0;983.0;580;5;2567
0;993.0;580;5;null
0;993.0;580;5;null
0;1112.0;-15;5;null
0;1122.0;-15;5;2568
0;1251.0;630;5;2568
0;1261.0;630;5;null
0;1261.0;630;5;null
0;1390.0;-15;5;null
0;1400.0;-15;5;2569
0;1549.0;730;5;2569
0;1559.0;730;5;null
0;1559.0;730;5;null
0;1708.0;-15;5;null
0;1718.0;-15;5;2570
0;1737.0;80;15;2570
0;1747.0;80;15;null
0;1766.0;-15;5;null
0;1766.0;-15;5;null
1;1766.0;1015;5;null
1;1953.0;80;15;null
1;1963.0;80;15;2570
1;2150.0;1015;5;2570
1;2160.0;1015;5;null
0;2160.0;-15;5;null
0;2160.0;-15;5;null
0;2170.0;-15;5;2571
0;2203.0;150;15;2571
0;2213.0;150;15;null
1;2271.0;725;65;null
1;2281.0;725;65;2008
1;2368.0;290;15;2008
1;2378.0;290;15;null
1;2378.0;290;15;null
1;2466.0;730;65;null
1;2476.0;730;65;1606
1;2533.0;1015;5;1606
1;2543.0;1015;5;null
0;2543.0;150;15;null
0;2576.0;-15;5;null
0;2586.0;-15;5;2572
0;2653.0;320;15;2572
0;2663.0;320;15;null
1;2695.0;855;45;null
1;2705.0;855;45;2273
1;2804.0;360;15;2273
1;2814.0;360;15;null
1;2814.0;360;15;null
1;2914.0;860;45;null
1;2924.0;860;45;2099
1;2955.0;1015;5;2099
1;2965.0;1015;5;null
0;2965.0;320;15;null
0;3032.0;-15;5;null
0;3042.0;-15;5;2573
0;3131.0;430;15;2573
0;3141.0;430;15;null
1;3192.0;760;85;null
1;3202.0;760;85;2101
0;3291.0;-15;5;null
0;3291.0;-15;5;null
1;3355.0;440;15;2101
1;3365.0;440;15;null
1;3428.0;755;85;null
1;3438.0;755;85;1903
1;3495.0;470;15;1903
1;3505.0;470;15;null
1;3505.0;470;15;null
1;3561.0;750;85;null
1;3571.0;750;85;1779
1;3624.0;1015;5;1779
1;3634.0;1015;5;null
0;3634.0;-15;5;null
0;3634.0;-15;5;null
0;3644.0;-15;5;2574
0;3767.0;600;15;2574
0;3777.0;600;15;null
0;3777.0;600;15;null
0;3900.0;-15;5;null
0;3910.0;-15;5;2575
0;4045.0;660;15;2575
0;4055.0;660;15;null
0;4055.0;660;15;null
0;4190.0;-15;5;null
0;4200.0;-15;5;2576
0;4349.0;730;15;2576
0;4359.0;730;15;null
0;4359.0;730;15;null
0;4508.0;-15;5;null
0;4518.0;-15;5;2577
0;4669.0;740;15;2577
0;4679.0;740;15;null
0;4679.0;740;15;null
0;4830.0;-15;5;null
0;4840.0;-15;5;2578
0;4993.0;750;15;2578
0;5003.0;750;15;null
0;5003.0;750;15;null
0;5156.0;-15;5;null
